gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
SUCLG2,RFS,20,6,0.7109692795179353,2.035963720492422,0.9418834676831929,4.400914140002281,0.07064890322975786,0.9896285265870144,converged,NA,Dys-CIM,-0.468,3.7091389588949e-4,0.00491460912053584,0.2248357018558022,0.09073756900435355,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
ZNF677,RFS,20,6,-0.8242677398735818,0.4385560119964895,0.1793793238848965,1.072204819891503,0.07074406158590998,0.44113206899179275,converged,NA,Fun-CIM,0.452,9.93667213750333e-5,7.3828545320702e-4,0.2248357018558022,0.49917020509197724,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
LYVE1,RFS,20,6,-1.0530167786693374,0.3488836551575564,0.11133078793249293,1.0933166565739512,0.07078131731146665,0.17133388401056307,converged,NA,Fun-CIM,0.509,4.56192451445403e-6,8.73910840720711e-5,0.2248357018558022,0.49917020509197724,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
PFKFB4,RFS,20,6,1.15129229066639,3.162276851160988,0.906599781509613,11.03021982504484,0.07089687560206592,0.7129585999214275,converged,NA,Dys-CIM,-0.389,0.00181256078504344,0.0155362353003723,0.2248357018558022,0.09076606366888694,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
SLC30A3,RFS,20,6,-1.361641082096846,0.2562399209715958,0.05828211868456973,1.1265701827842605,0.0715101503352902,0.5253709994942183,converged,NA,Fun-CIM,0.498,1.9596516977391e-4,0.00121239151727829,0.22629600992855725,0.5010354039725853,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
EIF3M,RFS,20,6,0.7780740045367978,2.177274803255894,0.9324944777355915,5.083703638014644,0.07211086501604892,0.03553830159669884,converged,NA,Dys-CIM,-0.61,2.57863947206476e-7,5.13162859375334e-5,0.22712361310711604,0.09159988487812516,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
NTHL1,RFS,20,6,0.6854831645153466,1.984730555285666,0.9402717992541726,4.18937947539116,0.07211521258917636,0.34784508909647127,converged,NA,Dys-CIM,-0.604,1.35958654865075e-8,8.6907762471886e-6,0.22712361310711604,0.09159988487812516,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
RPS18,RFS,20,6,0.7999434240640286,2.225415019993125,0.930320170337293,5.32340603710167,0.07223175001583501,0.23960490190003447,converged,NA,Dys-CIM,-0.49,6.66767354663191e-5,0.00146228978470962,0.22712361310711604,0.09159988487812516,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
STOM,RFS,20,6,0.9259173368242923,2.5241827243886275,0.9173834129330513,6.945294994740625,0.07297531641178495,0.5446322734572686,converged,NA,Fun-CIM,0.347,0.00289549869492891,0.0093384237828336,0.22897551611409644,0.5080023639246191,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
GNRH1,RFS,20,6,-1.0314468669673937,0.3564907924940855,0.11507460567514133,1.1043764554955535,0.07379634311748902,0.004353946630859547,converged,NA,Fun-CIM,0.354,0.0022116572951283,0.00757058148386222,0.231062122953491,0.5104247065626324,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
