"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"CIBERSORTx","Macrophages M0","Fun-CIM",25,0.0696073007973797,0.0674059173515208,0.0770542281277068,0.0910349295853121,0.00744692733032714,0.0838509654830126,0.925640069588623,1,0.66317976725813
"CIBERSORTx","Macrophages M0","Dys-CIM",11,0.0739402078378143,0.0469827469906172,0.0812519952932911,0.0473476902020694,0.00731178745547679,0.0606838951596649,0.893903721815722,0.940951286121812,0.651145000867223
"CIBERSORTx","Macrophages M1","Fun-CIM",25,0.0593985206610814,0.0348877676767062,0.0416554281539002,0.0273395594568114,-0.0177430925071812,0.030568695838412,0.00558137716997927,0.0558137716997927,-1.58009598286693
"CIBERSORTx","Macrophages M1","Dys-CIM",11,0.101119985216593,0.0393632045240564,0.0886963592071588,0.0225094276104773,-0.0124236260094346,0.0366578780001866,0.306556273379373,0.681236163065273,-1.10637542706852
"CIBERSORTx","Macrophages M2","Fun-CIM",25,0.315300091737066,0.0942260681573959,0.33836768629618,0.0885749287584997,0.0230675945591141,0.106999111183206,0.196519347899595,0.4367096619991,2.0542649756522
"CIBERSORTx","Macrophages M2","Dys-CIM",11,0.272239793624829,0.0897817003240465,0.298419691525964,0.057712264795928,0.0261798979011352,0.0804774823846835,0.0829604137452953,0.399074705068856,2.33142849752419
"CIBERSORTx","Mast cells activated","Fun-CIM",25,0.0028783599498844,0.00605973463702465,0.010193616661284,0.0174709648091098,0.00731525671139963,0.0186731919473753,0.127157193740094,0.347263087005207,0.651453952496991
"CIBERSORTx","Mast cells activated","Dys-CIM",11,0.00326732802525327,0.00587462932236714,0.0186988507253777,0.0256387808830938,0.0154315227001245,0.0231265129458954,0.0934924836898357,0.399074705068856,1.37424110357977
"CIBERSORTx","Mast cells resting","Fun-CIM",25,0.115316253558759,0.102848572729529,0.130974789437636,0.104405166718872,0.0156585358788763,0.0838387733994423,0.0672992995238676,0.224330998412892,1.39445756875676
"CIBERSORTx","Mast cells resting","Dys-CIM",11,0.0367337213184849,0.0375405933416907,0.053278849631773,0.0587166845544801,0.0165451283132881,0.0656892296418067,0.624834867127387,0.892621238753411,1.47341230246439
"CIBERSORTx","Monocytes","Fun-CIM",25,0.0171853496216637,0.0219126054662991,0.0219452645792415,0.0215657260343852,0.0047599149575778,0.028442014945881,0.435214053277576,0.725356755462626,0.423890170228942
"CIBERSORTx","Monocytes","Dys-CIM",11,0.0194499196801955,0.0215869220812097,0.0220757373601044,0.0223952458759907,0.00262581767990892,0.0116640766529578,0.119722411520657,0.399074705068856,0.233839955807355
"CIBERSORTx","NK cells activated","Fun-CIM",25,0.0163454533619229,0.013264852024408,0.0263572702694651,0.0199683515565911,0.0100118169075422,0.027617901611791,0.138905234802083,0.347263087005207,0.891593822801969
"CIBERSORTx","NK cells activated","Dys-CIM",11,0.0352836208235052,0.025393604618729,0.042489241136704,0.0293183033775599,0.00720562031319877,0.0223373735537829,0.504879873834092,0.841466456390153,0.641690376485478
"CIBERSORTx","NK cells resting","Fun-CIM",25,0.00946047577706959,0.0107861728407076,0.00480304431878486,0.00820673065901494,-0.00465743145828472,0.0097392055153984,0.0294393382970782,0.129251644972976,-0.414763589534084
"CIBERSORTx","NK cells resting","Dys-CIM",11,0.00313765641306731,0.00385226518394863,0.00931076432684054,0.0201048897010859,0.00617310791377322,0.0207443706258463,0.833935414088552,0.926594904542836,0.54974086464405
