"","gene_id","H_value","p_value","stat_test_adj_p","cluster1_mean","cluster1_sd","cluster1_sem","cluster2_mean","cluster2_sd","cluster2_sem","cluster1_penetrance","cluster2_penetrance","cluster1_cluster2_pval","cluster1_cluster2_differential","cluster2_cluster1_differential","cluster1_cluster2_sd","cluster2_cluster1_sd"
"4539","CACYBP",64,0.202011636080824,0.397485722294141,0.033789033823673,0.55795814590727,0.149120587010331,0.00028225475303007,0.157685930827997,0.0437342083861238,0.357142857142857,0.461538461538462,NA,0.0335067790706429,-0.0335067790706429,0.579812163864618,0.579812163864618
"4540","SCP2",82,0.68484746962604,0.797813527000062,-0.217444163620053,0.509356324411865,0.136131203838263,-0.11993317647682,0.242613237242934,0.0672888051527467,0.357142857142857,0.230769230769231,NA,-0.097510987143233,0.097510987143233,0.564185295894763,0.564185295894763
"4541","TPSG1",85,0.693654434786546,0.803214891981684,0.000915701413229436,0.058568258221032,0.0156530254288006,0.0075085228174171,0.0270723640211887,0.0075085228174171,0.142857142857143,0.0769230769230769,NA,-0.00659282140418766,0.00659282140418766,0.0645225058777264,0.0645225058777264
"4542","PAPPA2",59.5,0.132324031161827,0.318861797904247,-0.146947441095019,0.30654801267123,0.0819284025722985,0.135180125768026,0.589724399643103,0.163560120100417,0.285714285714286,0.692307692307692,NA,-0.282127566863045,0.282127566863045,0.664640167013023,0.664640167013023
"4543","RALGPS2",9,9.67180668351755e-06,0.00141832365107325,-0.752283634436342,0.614142492353543,0.164136485217599,0.394807905308924,0.229338203386815,0.063606973210304,0.142857142857143,1,NA,-1.14709153974527,1.14709153974527,0.655566177015649,0.655566177015649
"4544","ANGPTL1",163.5,0.000451775755275491,0.0131254579748989,0.446211469947219,0.361853154278696,0.0967093234024523,0.0286179867962539,0.0816481350977084,0.0226451182800614,0.928571428571429,0.384615384615385,NA,0.417593483150965,-0.417593483150965,0.370950297514877,0.370950297514877
"4545","CEP104",77,0.518594995587861,0.673270074235,-0.0575273763269802,0.216750301202215,0.057928954684196,0.000348947747421308,0.279895581305335,0.0776290669363219,0.5,0.384615384615385,NA,-0.0578763240744015,0.0578763240744015,0.354008798627241,0.354008798627241
"4546","FAM20B",70,0.325476535897858,0.534709839918087,-0.246189564731711,0.445279052295125,0.119005832513983,-0.0682619378927898,0.298311019466853,0.0827365905172057,0.285714285714286,0.307692307692308,NA,-0.177927626838921,0.177927626838921,0.535969121077136,0.535969121077136
"4547","TCEANC2",52,0.0616865177691726,0.209273813267656,-0.140614782511888,0.302197589343575,0.0807657030309047,0.0399713385756833,0.323043502484524,0.0895961471087254,0.214285714285714,0.615384615384615,NA,-0.180586121087571,0.180586121087571,0.442357872658029,0.442357872658029
"4548","TMEM59",135,0.0331539562176256,0.148198510290389,0.23153092101228,0.400265039146568,0.106975331456437,-0.00370075235848922,0.0920773260843291,0.0255376554234359,0.785714285714286,0.384615384615385,NA,0.235231673370769,-0.235231673370769,0.410719290442808,0.410719290442808
"4549","LRRC42",102,0.615950603989371,0.74994228959319,0.119042338684347,0.129157633944366,0.0345188296504415,0.0700978501164385,0.243988271509878,0.067670171041592,0.785714285714286,0.538461538461538,NA,0.0489444885679085,-0.0489444885679085,0.276065157237354,0.276065157237354
"4550","WRAP73",74,0.429599517406759,0.588499855814762,-0.226584112704898,0.194923798224239,0.052095576391697,-0.15905865216867,0.20388648170158,0.056547935703769,0.142857142857143,0.307692307692308,NA,-0.067525460536228,0.067525460536228,0.282072658254593,0.282072658254593
"4551","NPHS2",126,0.0298421918251127,0.139305991507149,0.115795391088658,0.167952136298316,0.0448870965289328,0.00541456368395369,0.0195224869967602,0.00541456368395369,0.428571428571429,0.0769230769230769,NA,0.110380827404704,-0.110380827404704,0.16908296066046,0.16908296066046
"4552","MRPL37",141,0.0144765009995862,0.0918347204887876,0.455934999369797,0.322422838415653,0.0861711282158962,0.123425663497382,0.168476806727036,0.0467270588754435,0.785714285714286,0.846153846153846,NA,0.332509335872415,-0.332509335872415,0.363786917215209,0.363786917215209
"4553","ICMT",112,0.325476535897858,0.534709839918087,0.0368052290012954,0.207396351585892,0.0554290064929514,-0.00267042952512686,0.16217328270355,0.0449787758690743,0.714285714285714,0.461538461538462,NA,0.0394756585264223,-0.0394756585264223,0.263274420090491,0.263274420090491
"4554","RPL22",56,0.0944789937332675,0.249509320388267,-0.155143401220326,0.205832268698253,0.055010987757947,-0.0293897106983595,0.213548422209491,0.0592276758515963,0.142857142857143,0.384615384615385,NA,-0.125753690521966,0.125753690521966,0.296597119786475,0.296597119786475
"4555","CHD5",142.5,0.0133016276811729,0.0876756181911617,0.149291991668524,0.189547065866256,0.0506585842242718,-0.0337268432850175,0.111955156937817,0.0310507737609167,0.714285714285714,0.384615384615385,NA,0.183018834953541,-0.183018834953541,0.220140971523881,0.220140971523881
