cohort,gene,nonfinite_n,variance,finite_complete,variable,retained,exclusion_reason
METABRIC,ADAMTS20,0,0.02037962705083442,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS3,0,0.03200267738143308,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS4,0,0.02972215983102114,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS5,0,0.13727881368729145,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS6,0,0.06102588374859556,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS7,0,0.07013711905786507,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS7P1,0,0.01852001350588329,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS8,0,0.09799463837563531,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS9,0,0.3851898450036341,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTSL1,0,0.03451848992474402,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTSL2,0,0.5048070141487233,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTSL3,0,0.0576141529372107,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTSL4,0,0.1402503497868901,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTSL5,0,0.049964004683268455,TRUE,TRUE,TRUE,retained
METABRIC,ADAP1,0,0.6358431411568717,TRUE,TRUE,TRUE,retained
METABRIC,ADAP2,0,0.33553640191438255,TRUE,TRUE,TRUE,retained
METABRIC,ADAR,0,0.3300106745750784,TRUE,TRUE,TRUE,retained
METABRIC,ADARB1,0,0.3175342381022238,TRUE,TRUE,TRUE,retained
METABRIC,ADARB2,0,0.05155040881313804,TRUE,TRUE,TRUE,retained
METABRIC,ADARB2-AS1,0,0.02894182295801115,TRUE,TRUE,TRUE,retained
METABRIC,ADAT1,0,0.16737547683081025,TRUE,TRUE,TRUE,retained
METABRIC,ADAT2,0,0.022383128420469665,TRUE,TRUE,TRUE,retained
METABRIC,ADAT3,0,0.11358242086914382,TRUE,TRUE,TRUE,retained
METABRIC,ADCK1,0,0.14780401382795355,TRUE,TRUE,TRUE,retained
METABRIC,ADCK2,0,0.15327098483991716,TRUE,TRUE,TRUE,retained
METABRIC,ADCK5,0,0.15417941345255134,TRUE,TRUE,TRUE,retained
METABRIC,ADCY1,0,0.9957691476868873,TRUE,TRUE,TRUE,retained
METABRIC,ADCY10,0,0.018736821753263293,TRUE,TRUE,TRUE,retained
METABRIC,ADCY10P1,0,0.21016509874889175,TRUE,TRUE,TRUE,retained
METABRIC,ADCY2,0,0.0401625239142551,TRUE,TRUE,TRUE,retained
METABRIC,ADCY3,0,0.3650663187375058,TRUE,TRUE,TRUE,retained
METABRIC,ADCY4,0,0.49643401383059416,TRUE,TRUE,TRUE,retained
METABRIC,ADCY5,0,0.04704322764121673,TRUE,TRUE,TRUE,retained
METABRIC,ADCY6,0,0.2914750219906509,TRUE,TRUE,TRUE,retained
METABRIC,ADCY7,0,0.08673913710858853,TRUE,TRUE,TRUE,retained
METABRIC,ADCY8,0,0.045406179959178346,TRUE,TRUE,TRUE,retained
METABRIC,ADCY9,0,0.31588152639819894,TRUE,TRUE,TRUE,retained
METABRIC,ADCYAP1,0,0.12009446027280249,TRUE,TRUE,TRUE,retained
METABRIC,ADCYAP1R1,0,0.017122462298877778,TRUE,TRUE,TRUE,retained
METABRIC,ADD1,0,0.16962028097062903,TRUE,TRUE,TRUE,retained
METABRIC,ADD2,0,0.02014172622413877,TRUE,TRUE,TRUE,retained
