gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
NDUFA6-DT,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00640616497084974,0.0030994428448162,0.334,0.334,0.0030994428448162,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NECAP2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.0073701862459e-4,6.94040341362639e-5,0.487,0.487,6.94040341362639e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NFAM1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,7.74145208188774e-7,2.55882512011744e-7,0.604,0.604,2.55882512011744e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NFASC,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,8.40540770509296e-6,6.99866010736657e-6,0.556,0.556,6.99866010736657e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NFATC2IP,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.55592864330839e-5,3.16681429325116e-5,0.534,0.534,3.16681429325116e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NFKBID,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.52393831615983e-5,1.92030969465377e-5,0.504,0.504,1.92030969465377e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NFYC,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00015296118826485001,1.6079873709873e-4,0.482,0.482,1.6079873709873e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NLRP4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00134084370693053,7.1673504064069e-4,0.398,0.398,7.1673504064069e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NME9,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.8587093571976e-4,1.8627712190141e-4,0.437,0.437,1.8627712190141e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NOTCH4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.26614598362479e-5,3.08742955827875e-5,0.521,0.521,3.08742955827875e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NPIPA1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.48006620429628e-5,5.99228972204394e-6,0.541,0.541,5.99228972204394e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NPIPB15,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00015296118826485001,5.9190356900456e-5,0.469,0.469,5.9190356900456e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NR1H3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.3966428208399e-4,1.2068103179726e-4,0.428,0.428,1.2068103179726e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NUP210L,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,7.6719910741898e-4,6.3180763524967e-4,0.431,0.431,6.3180763524967e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NXF1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,9.26475743969096e-6,3.02941774339997e-6,0.546,0.546,3.02941774339997e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
OMG,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.1822454790585e-4,6.8573333162882e-4,0.426,0.426,6.8573333162882e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
OR13A1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00141848793580407,8.7649310480166e-4,0.399,0.399,8.7649310480166e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
OR2A9P,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00227624069326744,0.00128526479458895,0.391,0.391,0.00128526479458895,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
