"gene_id","r_rb","p_value","padj","trajectory"
"ZRANB2",0.206559295874725,0.29921148499108,0.908360035896766,"NS"
"EIF5A",0.413552060738377,0.031290063419127,0.393654333088705,"NS"
"KDM6B",-0.292227504257391,0.137435773571143,0.664263087350283,"NS"
"CLEC10A",-0.152888299285995,0.44452670137787,1,"NS"
"SLC52A1",-0.0958742563903319,0.632844741458159,1,"NS"
"GUCY2D",-0.18284905152371,0.359264640458207,0.966024340541736,"NS"
"GPS2",-0.655643458416521,0.000192835180976378,0.0290474551618845,"Fun-CIM"
"XAF1",-0.505650757023246,0.0068901105156575,0.192030461984773,"NS"
"DLG4",-0.00142823594582247,0.994334883060971,1,"NS"
"RIDA",-0.0540578310239947,0.787978600962979,1,"NS"
"VPS13B",0.234574803452625,0.236911083259072,0.831770555280006,"NS"
"RGS22",-0.0419758718664693,0.834629289555215,1,"NS"
"MATN2",-0.252860695134285,0.201268794435194,0.780027883409473,"NS"
"REEP2",0.249930446211158,0.20671753005507,0.788001037376853,"NS"
"PCBD2",0.225023781217644,0.257096872311719,0.857590767244584,"NS"
"SDF2",-0.0481950002255369,0.810537363064878,1,"NS"
"FLOT2",-0.326112869832193,0.0954842988109488,0.59274693831858,"NS"
"ERAL1",-0.656289748106083,0.000189091439133924,0.0290247107674861,"Fun-CIM"
"PRMT7",0.38567232191519,0.0460143401014209,0.433287640207732,"NS"
"NIP7",-0.0139455692782271,0.944725863945704,1,"NS"
"TERF2",-0.346646193580148,0.0752526336626543,0.541254839165107,"NS"
"VPS4A",0.221742678301334,0.264282357070277,0.869180625344628,"NS"
"MTSS2",-0.495192186380157,0.00835420705671495,0.212440164755356,"NS"
"HSPA12B",-0.532368341319819,0.00409584009799271,0.146320026873808,"NS"
"ANKEF1",-0.0585585832080285,0.770772403076797,1,"NS"
"SCP2D1",0,1,1,"NS"
"PCED1A",-0.638768147179742,0.000316730916040285,0.0380812956048558,"Fun-CIM"
"SNAP25",0.0548344145925323,0.785002564133582,1,"NS"
"BTBD3",0.238621749687372,0.22868454288281,0.820010864136951,"NS"
"PCNA",-0.528892599600404,0.00439295999464402,0.152320915115925,"NS"
"NXT1",-0.148025910594772,0.459312968698162,1,"NS"
"POLR3F",-0.303656105847129,0.122019623039346,0.629899400985459,"NS"
"RIN2",0.557923958443857,0.00239106295675724,0.110121799821518,"NS"
"PTPRA",0.246583706385693,0.213062692829534,0.798766083462114,"NS"
"SSTR4",-2.08619702949373e-16,0.999999999999999,1,"NS"
"DAP3",0.841206511959886,3.41937161105436e-08,0.000207613723079802,"Dys-CIM"
"RHBG",-0.261802343328613,0.185252822878903,0.753821835069379,"NS"
"KHDC4",-0.465139799172834,0.0140826968617355,0.273248630454892,"NS"
"ATP1A4",-0.364782996125559,0.0602731991060359,0.490108597078152,"NS"
"NES",0.540370317263868,0.00347614783684098,0.134105230233398,"NS"
"BCAN",-0.0100362986100344,0.960206079510159,1,"NS"
"CRP",-0.198249471045126,0.319496984827616,0.933148167214706,"NS"
"ARHGEF11",-0.140260153037261,0.483454582222538,1,"NS"
"RAB25",-0.463099337810963,0.0145674841156223,0.278408011995149,"NS"
"HAPLN2",-0.303730089422503,0.121924150111581,0.629783195903889,"NS"
"APCS",0.197074315331984,0.322432285944113,0.936634226193903,"NS"
"FCRL2",-0.293349567659868,0.13586271380627,0.660452075727699,"NS"
"DCAF8",0.394307106930776,0.040964364781864,0.409399969132315,"NS"
"SYT11",-0.768674386609596,2.56138709133671e-06,0.00257055366113158,"Fun-CIM"
"IGHMBP2",-0.107453071491729,0.592137422347728,1,"NS"
"ACY3",-0.305173376810785,0.120072594227947,0.625763165269714,"NS"
"ALDH3B2",-0.39849972736531,0.0386767784395284,0.407450806351243,"NS"
"TESMIN",0.360677080314908,0.06344181608052,0.500558719199081,"NS"
"MMACHC",-0.448078364743319,0.018578006265894,0.309727948967086,"NS"
"DPH2",-0.201905157891873,0.310471209814644,0.922628704676197,"NS"
"TOE1",-0.258985627048707,0.190199323246778,0.762549574078298,"NS"
"NASP",-0.424707943992499,0.0265853457139917,0.365452001790813,"NS"
"MUTYH",-0.374490554170464,0.0532712492899294,0.462669376831882,"NS"
"CTNNBL1",0.0653803607046888,0.74489618555899,1,"NS"
"LPIN3",-0.128325605604222,0.5217777397282,1,"NS"
"ZSWIM3",-0.346106123144638,0.0757387566787808,0.542511147546061,"NS"
"RBM38",-0.337857050467671,0.0834665137266525,0.566968920952852,"NS"
"VSTM2L",-0.0541566622905425,0.787599695696944,1,"NS"
"OSER1",-0.605676121883294,0.00077342636183735,0.0606852672062503,"NS"
"SERINC3",0.426881085213461,0.0257393688262189,0.360607003938784,"NS"
"PPP1R3D",0.374885027938794,0.0530008376671125,0.461445192889976,"NS"
"DMGDH",-0.341150559898365,0.080312339482299,0.557146561787382,"NS"
"BHMT2",-0.355590095417897,0.0675449984766541,0.514520538482847,"NS"
"AP3B1",0.56832273007764,0.00189707244691201,0.0994067189364923,"NS"
"ZBED3",-0.390728841275972,0.0430007134913907,0.418151856128971,"NS"
"PATJ",-0.0818987848322675,0.683396193038538,1,"NS"
"KANK4",0.116143545231334,0.56234925072179,1,"NS"
"ANGPTL3",-0.358724213702148,0.0649934990011798,0.505624567628733,"NS"
"SYT4",-0.293611192788973,0.135497816708257,0.65970353247077,"NS"
