"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"CIBERSORTx","Eosinophils","C3",11,0,0,0,0,0,0,NA,NA,-0.00000000000000000523993713143828
"CIBERSORTx","Macrophages M0","C1",14,0.0537480360821381,0.0570488282936572,0.057532228999677,0.0941242871047132,0.00378419291753887,0.0833715746014295,0.812703686128436,0.903004095698263,0.28306979595282
"CIBERSORTx","Macrophages M0","C2",11,0.0739402078378143,0.0469827469906172,0.0812519952932911,0.0473476902020694,0.00731178745547679,0.0606838951596649,0.893903721815722,0.940951286121812,0.546945208178845
"CIBERSORTx","Macrophages M0","C3",11,0.089791819525869,0.0766375883548996,0.101900408836108,0.084615876322793,0.0121085893102395,0.0882927586412121,0.893903721815722,0.943565039694373,0.905761408050832
"CIBERSORTx","Macrophages M1","C1",14,0.0598673468905101,0.0380862086620361,0.0422792631796915,0.0304090091649388,-0.0175880837108186,0.0371722055351583,0.148778617087727,0.297557234175455,-1.31564520512356
"CIBERSORTx","Macrophages M1","C2",11,0.101119985216593,0.0393632045240564,0.0886963592071588,0.0225094276104773,-0.0124236260094346,0.0366578780001866,0.306556273379373,0.681236163065273,-0.929327165955378
"CIBERSORTx","Macrophages M1","C3",11,0.0588018327327176,0.0321675110260583,0.0408614563028932,0.0243007236222577,-0.0179403764298244,0.0211255111444975,0.0233763900464205,0.222075705440995,-1.34199783308353
"CIBERSORTx","Macrophages M2","C1",14,0.321312765297235,0.115500303714776,0.354753267682178,0.0996295771761091,0.0334405023849435,0.128962735131995,0.258486052233535,0.397670849590053,2.50145708555001
"CIBERSORTx","Macrophages M2","C2",11,0.272239793624829,0.0897817003240465,0.298419691525964,0.057712264795928,0.0261798979011352,0.0804774823846835,0.0829604137452953,0.399074705068856,1.95834052819901
"CIBERSORTx","Macrophages M2","C3",11,0.307647598115033,0.0620570587292194,0.317513309986728,0.0712116357593101,0.00986571187169492,0.0742562156081092,0.755657737671463,0.921050893921975,0.73798696506897
"CIBERSORTx","Mast cells activated","C1",14,0.0013621997488069,0.00388922628775105,0.0138817794469191,0.0209460652070368,0.0125195796981122,0.0205229522740673,0.0299739735865559,0.199826490577039,0.936504810347927
"CIBERSORTx","Mast cells activated","C2",11,0.00326732802525327,0.00587462932236714,0.0186988507253777,0.0256387808830938,0.0154315227001245,0.0231265129458954,0.0934924836898357,0.399074705068856,1.15432750844175
"CIBERSORTx","Mast cells activated","C3",11,0.00480801838761939,0.00781990009692088,0.00549959129774843,0.0109051960624536,0.000691572910129036,0.0142521197824234,0.726286148878805,0.921050893921975,0.0517318770006164
"CIBERSORTx","Mast cells resting","C1",14,0.105479657306419,0.0906800274613016,0.141695877312628,0.11198941492677,0.0362162200062088,0.0751840569145317,0.102639775576908,0.297557234175455,2.7090896872159
"CIBERSORTx","Mast cells resting","C2",11,0.0367337213184849,0.0375405933416907,0.053278849631773,0.0587166845544801,0.0165451283132881,0.0656892296418067,0.624834867127387,0.892621238753411,1.23762878841326
"CIBERSORTx","Mast cells resting","C3",11,0.127835557879919,0.119954964218189,0.117329768505827,0.0974228503315905,-0.0105057893740924,0.0904230382537613,0.350528908982333,0.656803189709226,-0.785866820019782
"CIBERSORTx","Monocytes","C1",14,0.0228179405936467,0.0273164191779419,0.0314267955047574,0.0240980584598159,0.00860885491111068,0.0372287501792087,0.315174424989568,0.450249178556525,0.643970023774695
"CIBERSORTx","Monocytes","C2",11,0.0194499196801955,0.0215869220812097,0.0220757373601044,0.0223952458759907,0.00262581767990892,0.0116640766529578,0.119722411520657,0.399074705068856,0.196419604142312
"CIBERSORTx","Monocytes","C3",11,0.0100165974755036,0.00902219833013993,0.00987786158313045,0.00867284900123022,-0.000138735892373145,0.00962109088001174,0.964541384555568,0.964541384555568,-0.0103778907685658
"CIBERSORTx","NK cells activated","C1",14,0.0172504789897525,0.0155754063236122,0.0313193518036604,0.021748512130671,0.0140688728139079,0.031918454501841,0.148778617087727,0.297557234175455,1.05239691619876
"CIBERSORTx","NK cells activated","C2",11,0.0352836208235052,0.025393604618729,0.042489241136704,0.0293183033775599,0.00720562031319877,0.0223373735537829,0.504879873834092,0.841466456390153,0.539003564621973
