"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"mcp_counter","Myeloid dendritic cell","Biopsy","kruskal",0.0242406035363619,0.0781488114008084,3,NA,14,11,11,2.47565476190476,8.3994696969697,2.33719696969697,1.33143242614972,7.91740397682998,2.30862652388117
"mcp_counter","NK cell","Biopsy","kruskal",0.0742721651906667,0.144529618749405,3,NA,14,11,11,0.290267857142857,0.375909090909091,0.204318181818182,0.113618297140271,0.280993127645661,0.101592189716354
"mcp_counter","Neutrophil","Biopsy","kruskal",0.0418343429947216,0.101530540301796,3,NA,14,11,11,8.92482142857143,5.95168831168831,6.89714285714286,3.91724290403231,2.50853728565943,4.63861604096634
"mcp_counter","T cell","Biopsy","kruskal",0.00768247422637745,0.038467811971295,3,NA,14,11,11,3.7706887755102,6.14957792207792,2.69107142857143,1.95194352017958,2.97701571576174,2.05437993401058
"mcp_counter","T cell CD8+","Biopsy","kruskal",0.0268278689566191,0.0809537914497696,3,NA,14,11,11,3.66392857142857,7.59590909090909,2.67227272727273,3.41728928705613,6.10441226416672,3.01277974936467
"mcp_counter","cytotoxicity score","Biopsy","kruskal",0.0209345030750352,0.0695669640647324,3,NA,14,11,11,3.10357142857143,7.05837662337662,2.50246753246753,1.92050490483153,6.68232853136638,2.60698642120957
"quantiseq","B cell","Biopsy","kruskal",0.189528633953947,0.28429295093092,3,NA,14,11,11,0.023644863480481,0.0260432047177373,0.0155512029903791,0.0116191800339676,0.0225713015634436,0.00801917629686651
"quantiseq","Macrophage M1","Biopsy","kruskal",0.181881627037756,0.274730289791295,3,NA,14,11,11,0.0311048634050927,0.0429617702448739,0.0274062185133572,0.0193104366375381,0.0296361884469117,0.0129676478433524
"quantiseq","Macrophage M2","Biopsy","kruskal",0.870282298494758,0.899430509449128,3,NA,14,11,11,0.0475347404807129,0.0498300518811102,0.0431458052465098,0.0187002005670611,0.0304190601340966,0.0160872837245208
"quantiseq","Monocyte","Biopsy","kruskal",0.0878192258970134,0.162127801656025,3,NA,14,11,11,0.0123021553267815,0.0136678891326533,0.00117538882380818,0.0224538401696018,0.0165663829582056,0.00347149706770054
"quantiseq","Myeloid dendritic cell","Biopsy","kruskal",0.665460885891973,0.715122146033165,3,NA,14,11,11,0.00810412787486549,0.00913470128049262,0.0078657793708075,0.00798248018676488,0.014813566251026,0.00767769902982295
