"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"timer","Macrophage","Fun-CIM",10,10,0,0,0,0,""
"timer","Myeloid dendritic cell","Fun-CIM",10,10,0,0,0,0,""
"timer","Neutrophil","Fun-CIM",10,10,0,0,0,0,""
"timer","T cell CD4+","Fun-CIM",10,10,0,0,0,0,""
"timer","T cell CD8+","Fun-CIM",10,10,0,0,0,0,""
"xcell","B cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","B cell memory","Dys-CIM",9,9,0,0,0,0,""
"xcell","B cell naive","Dys-CIM",9,9,0,0,0,0,""
"xcell","B cell plasma","Dys-CIM",9,9,0,0,0,0,""
"xcell","Cancer associated fibroblast","Dys-CIM",9,9,0,0,0,0,""
"xcell","Class-switched memory B cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","Common lymphoid progenitor","Dys-CIM",9,9,0,0,0,0,""
"xcell","Common myeloid progenitor","Dys-CIM",9,9,0,0,0,0,""
"xcell","Endothelial cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","Eosinophil","Dys-CIM",9,9,0,0,0,0,""
"xcell","Granulocyte-monocyte progenitor","Dys-CIM",9,9,0,0,0,0,""
"xcell","Hematopoietic stem cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","Macrophage","Dys-CIM",9,9,0,0,0,0,""
"xcell","Macrophage M1","Dys-CIM",9,9,0,0,0,0,""
"xcell","Macrophage M2","Dys-CIM",9,9,0,0,0,0,""
"xcell","Mast cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","Monocyte","Dys-CIM",9,9,0,0,0,0,""
"xcell","Myeloid dendritic cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","Myeloid dendritic cell activated","Dys-CIM",9,9,0,0,0,0,""
"xcell","NK cell","Dys-CIM",9,9,0,0,0,0,""
"xcell","Neutrophil","Dys-CIM",9,9,0,0,0,0,""
"xcell","Plasmacytoid dendritic cell","Dys-CIM",9,9,0,0,0,0,""
