"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Dys-CIM_n","Fun-CIM_n","Dys-CIM_mean","Fun-CIM_mean","Dys-CIM_sd","Fun-CIM_sd"
"consensus_tme","B cell","Surgery","wilcox_rank_sum",0.347745598910698,0.97332032972522,2,NA,9,10,0.565637367396457,0.511395496275858,0.110322212230571,0.156819431265536
"consensus_tme","Cancer associated fibroblast","Surgery","wilcox_rank_sum",0.838256486385826,0.994853851974387,2,NA,9,10,0.771058397523797,0.757704958919264,0.0549253719965508,0.112791351996285
"consensus_tme","Endothelial cell","Surgery","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.783708782432823,0.780033175840375,0.0579069740048542,0.0967101634375372
"consensus_tme","Eosinophil","Surgery","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,0.905213717317162,0.856124558908942,0.07780423772545,0.129752291462173
"consensus_tme","Macrophage","Surgery","wilcox_rank_sum",1,1,2,NA,9,10,0.811328061515038,0.810163955591686,0.0890903312123003,0.137077838428535
"consensus_tme","Macrophage M1","Surgery","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.863044424835705,0.846899155898358,0.092020427488671,0.1557336369127
"consensus_tme","Macrophage M2","Surgery","wilcox_rank_sum",0.838256486385826,0.994853851974387,2,NA,9,10,0.935235496699618,0.925870645956844,0.0685476684058821,0.116819638426104
"consensus_tme","Mast cell","Surgery","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.79212604470262,0.80869411946328,0.115834156976317,0.135747957760842
"consensus_tme","Monocyte","Surgery","wilcox_rank_sum",1,1,2,NA,9,10,0.715086959931002,0.730022021456557,0.0760584449657834,0.129061503788279
"consensus_tme","Myeloid dendritic cell","Surgery","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,0.791116981334654,0.765123042222426,0.0677671850046581,0.144579740180479
"consensus_tme","NK cell","Surgery","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.638256336907732,0.652733302843166,0.118661891337102,0.236270348224305
"consensus_tme","Neutrophil","Surgery","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.63540118152334,0.659241354975181,0.118273015166477,0.136176933095289
"consensus_tme","T cell CD4+","Surgery","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.727009310255079,0.723176399707526,0.0912260676879887,0.17196560938422
"consensus_tme","T cell CD8+","Surgery","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.697684033662068,0.70776412553529,0.0892651983560764,0.184218104492422
"consensus_tme","T cell gamma delta","Surgery","wilcox_rank_sum",0.54029137460742,0.97332032972522,2,NA,9,10,0.713751420050583,0.707351056740322,0.0965133459061861,0.213056142783825
"consensus_tme","T cell regulatory (Tregs)","Surgery","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.702111833870417,0.710790072758799,0.117665383238924,0.208253661725883
"consensus_tme","cytotoxicity score","Surgery","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,0.750299389004815,0.736805295752492,0.0796483567759571,0.188777009552371
"consensus_tme","immune score","Surgery","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.709050420476707,0.705502844514164,0.0809036637060911,0.150780096767112
"epic","B cell","Surgery","wilcox_rank_sum",0.177909594986983,0.97332032972522,2,NA,9,10,0.012643030370273,0.00778917012710597,0.0119946969818269,0.00854723093264355
"epic","Cancer associated fibroblast","Surgery","wilcox_rank_sum",0.54029137460742,0.97332032972522,2,NA,9,10,0.0604326256148258,0.0977552413085686,0.0323208137128956,0.0883944990987364
"epic","Endothelial cell","Surgery","wilcox_rank_sum",0.0454552948490585,0.97332032972522,2,NA,9,10,0.0054434294298529,0.0103081512364005,0.00421116933696531,0.00547968345124128
"epic","Macrophage","Surgery","wilcox_rank_sum",0.391267279282639,0.97332032972522,2,NA,9,10,0.0105787011552293,0.0137565783580588,0.0127418723017301,0.0134881874756085
