"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"mcp_counter","T cell CD8+","Dys-CIM",9,9,0,0,9,2.69854444444444,2.51186880285929,0.955677777777778,0.870109719773572,-1.74286666666667,2.98547412859331,0.155131568727114,NA,0.213305906999782
"mcp_counter","cytotoxicity score","Dys-CIM",9,9,0,0,9,13.1507396825397,14.8063163779144,6.79572380952381,8.02607968705196,-6.35501587301587,18.7447713496779,0.406941216918031,NA,0.447635338609834
"mcp_counter","B cell","Fun-CIM",10,10,0,0,10,28.1964291111111,51.1781595362948,16.7887691111111,18.0701528774668,-11.40766,50.1457186314191,1,NA,1
"mcp_counter","Cancer associated fibroblast","Fun-CIM",10,10,0,0,10,287.306406125,235.46825947226,350.811832875,301.779361909211,63.50542675,327.897262767407,0.610298655976554,NA,1
"mcp_counter","Endothelial cell","Fun-CIM",10,10,0,0,10,5.248344609375,2.72727193899063,4.63163334375,1.68052748195794,-0.616711265625,3.86679060747373,0.918812683274642,NA,1
"mcp_counter","Macrophage/Monocyte","Fun-CIM",10,10,0,0,10,14.2979162857143,10.8487291280353,17.8410474857143,12.8861173700651,3.5431312,15.1973017702629,0.610298655976554,NA,1
"mcp_counter","Monocyte","Fun-CIM",10,10,0,0,10,14.2979162857143,10.8487291280353,17.8410474857143,12.8861173700651,3.5431312,15.1973017702629,0.610298655976554,NA,1
"mcp_counter","Myeloid dendritic cell","Fun-CIM",10,10,0,0,10,4.793544,3.85431026232242,5.29712666666667,4.26844195552265,0.503582666666667,4.73736424940607,0.918812683274642,NA,1
"mcp_counter","NK cell","Fun-CIM",10,10,0,0,10,0.5343465,0.755287577465163,0.444832125,0.44031100876297,-0.089514375,0.716232245459425,0.683480902201426,NA,1
"mcp_counter","Neutrophil","Fun-CIM",10,10,0,0,10,5.79435978571429,2.73000292731287,7.99744428571429,4.41318448445738,2.2030845,4.71641019997471,0.308063229907199,NA,1
