"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"consensus_tme","Mast cell","Biopsy","wilcox",0.00086485698709489,0.00841625882832557,2,NA,25,11,-0.0697990574132396,0.110026433617789,0.10506733118132,0.123157412150382
"consensus_tme","Monocyte","Biopsy","wilcox",0.00351093803879703,0.0178890652452992,2,NA,25,11,0.0671820849012356,0.196979924822643,0.094103331095536,0.114403392650641
"consensus_tme","Myeloid dendritic cell","Biopsy","wilcox",0.000404380560402314,0.00794933952783934,2,NA,25,11,0.0492908232329895,0.231645802923711,0.100292730546405,0.116390486667437
"consensus_tme","NK cell","Biopsy","wilcox",0.000523324474622155,0.00794933952783934,2,NA,25,11,-0.152986311139572,0.0322786050773546,0.112982336276619,0.110757533889851
"consensus_tme","Neutrophil","Biopsy","wilcox",0.0000783767064050393,0.00638259973950367,2,NA,25,11,-0.0493201205118126,0.104291841627489,0.0801132442486847,0.0784473166988402
"consensus_tme","T cell CD4+","Biopsy","wilcox",0.000977877057389218,0.00841625882832557,2,NA,25,11,-0.00399355228088268,0.171098555905008,0.112306084241896,0.113820269889862
"consensus_tme","T cell CD8+","Biopsy","wilcox",0.000764052928171484,0.00841625882832557,2,NA,25,11,-0.0135745031656807,0.156509683146624,0.111597546530736,0.11418020761691
"consensus_tme","T cell gamma delta","Biopsy","wilcox",0.000460280090298328,0.00794933952783934,2,NA,25,11,-0.0991487686171423,0.108622392170843,0.123144730216031,0.124877505167848
"consensus_tme","T cell regulatory (Tregs)","Biopsy","wilcox",0.00177740765082308,0.0111872128610629,2,NA,25,11,-0.029042668422956,0.150646543180562,0.13163201107847,0.136993527522454
"consensus_tme","cytotoxicity score","Biopsy","wilcox",0.0000678642027953837,0.00638259973950367,2,NA,25,11,-0.127709777736029,0.104455680332559,0.117378511233422,0.113478430606282
"consensus_tme","immune score","Biopsy","wilcox",0.000523324474622155,0.00794933952783934,2,NA,25,11,0.00792241870085873,0.166870264634267,0.0923580084584513,0.102803071822571
"epic","B cell","Biopsy","wilcox",0.050290565257808,0.125141639129894,2,NA,25,11,0.00745692563257635,0.0193771989337506,0.0104945135681271,0.0215909125242113
"epic","Cancer associated fibroblast","Biopsy","wilcox",0.0332382658652575,0.0889123611895639,2,NA,25,11,0.264351001841413,0.113732523669697,0.260753825100029,0.143072285637926
"epic","Endothelial cell","Biopsy","wilcox",0.24295920492662,0.398371949928899,2,NA,25,11,0.0360490876083338,0.0232422129592655,0.0358619249486561,0.0237988332197878
"epic","Macrophage","Biopsy","wilcox",0.027957870983212,0.0777010959793163,2,NA,25,11,0.012314955685695,0.0364709195133684,0.00840553199505289,0.0589183524007623
